Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementClickable(findTestObject(""Object Repository/Page_My Store/span_Add to cart""))",Firefox 84.0,,,2021-01-10 14:09:14,2021-01-10 14:09:14,"0,254s",PASSED
"click(findTestObject(""Object Repository/Page_My Store/span_Add to cart""))",Firefox 84.0,,,2021-01-10 14:09:14,2021-01-10 14:09:15,"0,520s",PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_My Store/div_Product successfully added to your shop_ab4221""), 0)",Firefox 84.0,,,2021-01-10 14:09:15,2021-01-10 14:09:16,"1,235s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_My Store/h2_Product successfully added to your shopp_45f75f""), ""Product successfully added to your shopping cart"")",Firefox 84.0,,,2021-01-10 14:09:16,2021-01-10 14:09:16,"0,281s",PASSED
"navigateToUrl(""http://automationpractice.com/index.php?controller=order"")",Firefox 84.0,,,2021-01-10 14:09:16,2021-01-10 14:09:19,"2,481s",PASSED
"verifyElementText(findTestObject(""Page_Order - My Store/a_ProductName""), productName)",Firefox 84.0,,,2021-01-10 14:09:19,2021-01-10 14:09:19,"0,289s",PASSED
"assert getAttribute(findTestObject(""Page_Order - My Store/input_quantity""), ""value"") == expectedQuantity",Firefox 84.0,,,2021-01-10 14:09:19,2021-01-10 14:09:20,"0,319s",PASSED
,,,,,,,
Test Cases/TC_6656 - Dodaj do koszyka/TC_6656 - Dodaj do koszyka ze strony produktu,Firefox 84.0,,,2021-01-10 14:09:20,2021-01-10 14:09:41,"21,738s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-10 14:09:20,2021-01-10 14:09:26,"6,551s",PASSED
"navigateToUrl(""http://automationpractice.com/index.php?id_product=2&controller=product"")",Firefox 84.0,,,2021-01-10 14:09:26,2021-01-10 14:09:33,"6,922s",PASSED
"productName = getText(findTestObject(""Object Repository/Page_Blouse - My Store/h1_Blouse""))",Firefox 84.0,,,2021-01-10 14:09:33,2021-01-10 14:09:33,"0,281s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Blouse - My Store/select_SML""), ""2"", true)",Firefox 84.0,,,2021-01-10 14:09:33,2021-01-10 14:09:34,"0,870s",PASSED
"click(findTestObject(""Object Repository/Page_Blouse - My Store/a_Color_White""))",Firefox 84.0,,,2021-01-10 14:09:34,2021-01-10 14:09:35,"0,658s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Blouse - My Store/span_Add to cart""))",Firefox 84.0,,,2021-01-10 14:09:35,2021-01-10 14:09:35,"0,483s",PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Blouse - My Store/span_Add to cart""))",Firefox 84.0,,,2021-01-10 14:09:35,2021-01-10 14:09:36,"0,262s",PASSED
"click(findTestObject(""Object Repository/Page_Blouse - My Store/span_Add to cart""))",Firefox 84.0,,,2021-01-10 14:09:36,2021-01-10 14:09:36,"0,549s",PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_My Store/div_Product successfully added to your shop_ab4221""), 0)",Firefox 84.0,,,2021-01-10 14:09:36,2021-01-10 14:09:37,"0,895s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_My Store/h2_Product successfully added to your shopp_45f75f""), ""Product successfully added to your shopping cart"")",Firefox 84.0,,,2021-01-10 14:09:37,2021-01-10 14:09:37,"0,273s",PASSED
"navigateToUrl(""http://automationpractice.com/index.php?controller=order"")",Firefox 84.0,,,2021-01-10 14:09:37,2021-01-10 14:09:41,"3,277s",PASSED
"verifyElementText(findTestObject(""Page_Order - My Store/a_ProductName""), productName)",Firefox 84.0,,,2021-01-10 14:09:41,2021-01-10 14:09:41,"0,285s",PASSED
"assert getAttribute(findTestObject(""Page_Order - My Store/input_quantity""), ""value"") == expectedQuantity",Firefox 84.0,,,2021-01-10 14:09:41,2021-01-10 14:09:41,"0,290s",PASSED
